Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
44	-27.363602	24.631693	7.9949837	-56.751354	1000.0	-4.5903006	7.1628394	30.7605	-13.062155	225000	-2.4414062e-08	20.789196	-0.0075380984	-3.126152	0.83846164	0.0037003795	0.0518	79.0	432.8234791755676
45	-94.80467	49.254128	-35.2127	-154.71724	975.4	-4.158847	9.627149	62.33102	-14.158487	230000	-1.3542175e-08	312.38376	-0.011544981	-139.83124	0.8310746	0.005000743	0.068	79.0	443.7316195964813
46	-7.0384	38.46143	58.678432	-61.103485	1000.0	-10.806676	11.15011	35.955605	-36.663364	235000	-4.577637e-09	246.82118	-0.010229944	-213.01428	0.8284176	0.005135051	0.0462	79.0	455.69218134880066
47	-43.29151	57.40924	23.353184	-144.30261	969.6	-3.1295269	8.257995	44.147507	-16.848114	240000	-1.8310548e-08	158.45157	-0.010258001	-41.206947	0.8097796	0.004180332	0.0394	79.0	466.4900703430176
48	-83.78037	74.488556	34.854332	-149.89983	849.8	-5.9951463	10.742203	75.87459	-43.1507	245000	-3.6621095e-08	403.9766	-0.006160846	-126.65329	0.78079236	0.0027678225	0.022	79.0	477.08806133270264
49	-27.94083	19.475737	-1.252	-47.964985	1000.0	-11.078227	14.411682	62.010242	-47.9673	250000	1.8310548e-08	117.743225	-0.007683539	-94.27475	0.8340792	0.008374057	0.0602	79.0	489.82297444343567
50	-57.70046	11.197609	-35.727234	-67.20309	1000.0	-6.47266	9.01894	55.893517	-52.303288	255000	-1.5258789e-09	39.71113	-0.010150664	-18.637321	0.81109446	0.009194824	0.0632	79.0	500.8836998939514
51	-30.87862	41.26513	16.293373	-100.23787	1000.0	-4.19704	8.929739	49.707016	-21.09571	260000	-1.2207031e-08	35.696716	-0.011034578	-14.574305	0.83453655	0.004747448	0.053	79.0	512.5101823806763
52	-44.072323	22.301874	-6.659171	-76.459	1000.0	-7.472492	9.553828	55.947376	-18.521568	265000	7.6293943e-10	17.098158	-0.00557661	-2.929716	0.82580197	0.0039878283	0.0506	79.0	523.6405329704285
53	41.61028	9.363164	52.539066	28.838623	1000.0	3.3950953	11.522919	36.853157	-12.167644	270000	-4.577637e-09	139.30193	-0.014538261	-116.77383	0.8089339	0.015171708	0.0804	69.0	535.3756382465363
54	1.2267891	43.439304	56.080807	-52.444977	1000.0	-1.1714708	7.3995523	27.277145	-23.377613	275000	-9.155274e-09	46.287285	-0.00895396	-10.837566	0.81417483	0.009150847	0.0804	79.0	545.7659115791321
55	-62.59939	36.809765	-3.208675	-111.48541	986.0	-4.964941	11.451225	51.817844	-24.30573	280000	3.0517577e-09	237.9463	-0.014669538	-149.07355	0.82707167	0.0056895423	0.0468	79.0	555.6360721588135
56	18.500683	46.10732	77.09233	-64.70032	1000.0	-5.61374	12.013117	70.03456	-27.162752	285000	1.373291e-08	113.29675	-0.010218559	-79.93474	0.8189901	0.007681459	0.077	79.0	567.3782150745392
57	-2.2269425	70.32388	114.227264	-77.91162	959.6	-3.0040753	10.333476	47.85411	-21.926218	290000	6.1035155e-09	191.39185	-0.0070116944	-104.708435	0.7875154	0.0070956307	0.0622	79.0	578.0561189651489
58	27.05572	14.185454	51.001335	9.445425	978.8	1.5276	8.008293	34.27715	-12.84367	295000	3.0517577e-09	162.7359	-0.0068685855	-100.06537	0.7846935	0.007828036	0.0798	79.0	589.9067413806915
59	33.96529	51.713043	119.47459	-21.948864	986.4	1.0395504	6.296623	38.229263	-9.047077	300000	-2.4414062e-08	110.5531	-0.008010792	-47.69679	0.7880406	0.008309023	0.0336	79.0	599.7209761142731
60	38.194412	37.474976	80.407234	-16.056355	969.8	11.989226	15.381063	89.22298	-7.8109813	305000	3.051758e-08	272.93988	-0.010411713	-217.98721	0.78586	0.012493067	0.116	79.0	609.9962818622589
61	54.46505	26.511728	93.571754	23.245316	975.8	0.32304177	8.782758	43.563133	-19.254868	310000	-7.629395e-09	52.985844	-0.009078444	-24.01307	0.8094255	0.010087037	0.0894	79.0	621.4860556125641
62	25.991339	31.94233	72.61997	-15.289109	1000.0	0.7857879	15.410524	83.83498	-37.54029	315000	2.6416778e-08	200.24045	-0.011307488	-173.68643	0.80494845	0.010558793	0.0914	79.0	631.2471632957458
63	21.128677	60.812794	102.82233	-60.917343	844.0	3.8686774	13.135466	71.20171	-17.090014	320000	9.155274e-09	317.9743	-0.007727417	-154.01445	0.77338326	0.0062754177	0.053	79.0	640.7666158676147
64	-7.6313057	75.41811	88.13891	-122.48574	892.4	1.519383	10.190284	46.668262	-30.495892	325000	1.8310548e-08	305.2879	-0.009861707	-95.0647	0.81790185	0.009350806	0.1012	79.0	649.7587354183197
